,0
799,3
800,0
801,1
802,1
803,7
804,0
805,5
806,6
807,0
808,7
809,4
810,3
811,5
812,1
813,1
814,3
815,6
816,5
817,0
818,2
819,4
820,6
821,7
822,2
823,4
824,7
825,0
826,4
827,3
828,3
829,2
830,0
831,1
832,6
833,7
834,6
835,1
836,5
837,2
838,5
839,5
840,1
841,3
842,6
843,5
844,7
845,0
846,4
847,4
848,2
849,7
850,1
851,6
852,3
853,2
854,2
855,3
856,3
857,5
858,7
859,5
860,0
861,1
862,6
863,4
864,6
865,0
866,4
867,7
868,1
869,2
870,6
871,1
872,4
873,5
874,4
875,3
876,5
877,1
878,0
879,7
880,0
881,7
882,6
883,2
884,3
885,2
886,1
887,4
888,3
889,6
890,4
891,7
892,6
893,0
894,0
895,2
896,2
897,7
898,1
899,5
900,5
901,3
902,3
903,3
904,5
905,4
906,4
907,0
908,2
909,0
910,7
911,6
912,1
913,5
914,2
915,6
916,1
917,7
918,4
919,6
920,1
921,2
922,6
923,5
924,0
925,7
926,3
927,1
928,3
929,4
930,2
931,5
932,7
933,0
934,0
935,6
936,1
937,1
938,2
939,4
940,7
941,4
942,5
943,6
944,3
945,5
946,3
947,0
948,7
949,2
950,6
951,0
952,0
953,2
954,5
955,4
956,6
957,3
958,4
959,1
960,7
961,2
962,5
963,3
964,1
965,0
966,6
967,7
968,1
969,3
970,7
971,5
972,6
973,1
974,2
975,4
976,2
977,5
978,0
979,4
980,3
981,0
982,6
983,0
984,3
985,7
986,6
987,1
988,4
989,5
990,2
991,5
992,3
993,4
994,1
995,7
996,2
997,5
998,5
999,1
1000,4
1001,0
1002,7
1003,1
1004,7
1005,4
1006,2
1007,3
1008,6
1009,0
1010,2
1011,6
1012,3
1013,3
1014,7
1015,3
1016,4
1017,6
1018,1
1019,2
1020,7
1021,6
1022,0
1023,1
1024,5
1025,2
1026,0
1027,4
1028,5
1029,4
1030,3
1031,7
1032,3
1033,1
1034,4
1035,5
1036,0
1037,0
1038,5
1039,7
1040,6
1041,2
1042,6
1043,2
1044,1
1045,3
1046,6
1047,7
1048,4
1049,5
1050,1
1051,2
1052,3
1053,0
1054,7
1055,4
1056,0
1057,2
1058,5
1059,6
1060,1
1061,5
1062,0
1063,1
1064,7
1065,3
1066,4
1067,4
1068,5
1069,1
1070,3
1071,6
1072,6
1073,2
1074,0
1075,7
1076,2
1077,5
1078,4
1079,5
1080,7
1081,2
1082,1
1083,3
1084,0
1085,6
1086,1
1087,0
1088,6
1089,2
1090,7
1091,3
1092,4
1093,5
1094,5
1095,0
1096,6
1097,4
1098,7
1099,4
1100,1
1101,0
1102,1
1103,7
1104,3
1105,3
1106,2
1107,6
1108,2
1109,1
1110,2
1111,6
1112,7
1113,0
1114,2
1115,1
1116,3
1117,4
1118,7
1119,3
1120,5
1121,4
1122,6
1123,0
1124,5
1125,6
1126,0
