,0
639,1785
640,1885
641,1800
642,1855
643,1840
644,1770
645,1755
646,1735
647,2015
648,2005
649,1850
650,2020
651,1905
652,2005
653,2035
654,1870
655,2070
656,1940
657,2105
658,2070
659,1735
660,1720
661,1785
662,2085
663,2170
664,1850
665,1870
666,2070
667,1755
668,2105
669,2070
670,1785
671,1720
672,1910
673,2005
674,2120
675,1720
676,2055
677,1675
678,1755
679,1700
680,1800
681,1830
682,1655
683,2120
684,2070
685,1735
686,2120
687,2140
688,2055
689,1955
690,1920
691,1720
692,1885
693,1920
694,1840
695,1840
696,2035
697,1970
698,1755
699,2105
700,1855
701,1920
702,1735
703,2105
704,2035
705,1985
706,1785
707,1720
708,1705
709,1955
710,2035
711,2100
712,2090
713,1990
714,1935
715,1835
716,1805
717,1800
718,2105
719,1870
720,2105
721,1755
722,2120
723,2275
724,1755
725,1990
726,1725
727,2230
728,1700
729,1785
730,1950
731,1940
732,2535
733,1805
734,1770
735,1720
736,2340
737,1805
738,2135
739,2120
740,2000
741,1755
742,1720
743,1770
744,1870
745,1840
746,2020
747,2070
748,2005
749,1955
750,1805
751,1820
752,1800
753,2055
754,2020
755,2005
756,2055
757,2000
758,1750
759,1950
760,1835
761,1785
762,2105
763,1775
764,1935
765,2050
766,1770
767,1835
768,1795
769,1905
770,1950
771,1990
772,1685
773,2000
774,2120
775,1895
776,1985
777,1835
778,1685
779,1990
780,1785
781,2055
782,1990
783,2055
784,2070
785,1855
786,1955
787,1690
788,1885
789,2070
790,1820
791,2070
792,1905
793,1690
794,2005
795,2035
796,1735
797,1720
798,2005
799,1890
800,2115
801,1720
802,2085
803,1920
804,1805
805,2055
806,2070
807,1850
808,2000
809,1640
810,1770
811,1805
812,2155
813,1920
814,2040
815,1990
816,1970
817,1950
818,1970
819,1955
820,1750
821,1720
822,1785
823,1720
824,2000
825,1705
826,1990
827,2105
828,1770
829,1835
830,1985
831,1970
832,2040
833,1735
834,1690
835,1800
836,2005
837,2140
838,2040
839,1920
840,2705
841,1820
842,1735
843,1875
844,1685
845,2105
846,2105
847,1765
848,1785
849,1885
850,1805
851,2090
852,2005
853,2070
854,2105
855,2070
856,1870
857,1970
858,2020
859,1820
860,1720
861,1835
862,1655
863,1685
864,1970
865,1955
866,2120
867,1740
868,1970
869,1835
870,1770
871,2090
872,1755
873,2105
874,2085
875,2155
876,1835
877,2025
878,1840
879,1705
880,2105
881,2070
882,2040
883,1685
884,1890
885,1985
886,2005
887,2040
888,1985
889,1670
890,1770
891,1650
892,2105
893,1970
894,1885
895,1770
896,2140
897,1920
898,1735
899,1805
900,2005
901,1820
902,1770
903,1970
904,2155
905,1820
906,1940
907,1970
908,1855
909,1970
910,2005
911,1885
912,1920
913,1840
914,1970
915,1750
916,1970
917,1750
918,1755
919,1835
920,2020
921,1790
922,2035
923,1685
924,2020
925,1720
926,2070
927,1740
928,1800
929,2055
930,1985
931,2005
932,1920
933,1825
934,1955
935,1785
936,2120
937,1770
938,1785
939,2120
940,2070
941,1720
942,1840
943,2135
944,1985
945,2025
946,1800
947,1885
948,1625
949,2100
950,1955
951,2140
952,1840
953,1920
954,1790
955,2070
956,1835
957,2005
958,2005
959,2000
960,2070
961,1985
962,2120
963,1835
964,1755
965,1870
966,2055
967,1870
968,1870
969,1790
970,1950
971,1740
972,1705
973,2080
974,1895
975,1990
976,2090
977,1990
978,2220
979,1750
980,2140
981,2035
982,2120
983,1700
984,1940
985,1900
986,1850
987,1735
988,2105
989,1735
990,2120
991,2035
992,2105
993,1820
994,2020
995,1740
996,1755
997,1770
998,2140
999,1790
1000,2120
1001,1720
1002,2055
1003,1970
1004,1785
1005,1805
1006,2035
1007,1885
1008,1720
1009,2090
1010,1870
1011,2075
1012,2055
1013,2100
1014,1720
1015,1750
1016,1855
1017,2005
1018,2020
1019,2050
1020,2040
1021,1785
1022,1985
1023,1885
1024,1935
1025,1720
1026,1855
1027,2070
1028,1820
1029,2105
1030,1845
1031,1855
1032,2605
1033,2000
1034,1820
1035,2040
1036,2635
1037,1785
1038,1870
1039,1970
1040,1820
1041,1790
1042,1955
1043,2490
1044,1755
1045,1870
1046,1685
1047,1600
1048,2120
1049,2035
1050,2020
1051,2140
1052,1950
1053,2040
1054,1940
1055,1900
1056,2135
1057,1840
1058,1735
1059,1955
1060,1870
1061,2035
1062,1985
1063,1755
1064,1940
1065,1885
1066,1955
1067,1735
1068,1820
1069,1920
1070,2005
1071,2105
1072,1655
1073,1720
1074,1870
1075,1905
1076,2090
1077,1735
1078,1735
1079,2120
1080,1835
1081,1720
1082,2105
1083,1700
1084,1735
1085,1685
1086,1720
1087,1920
1088,1935
1089,2070
1090,1920
1091,2185
1092,2035
1093,1990
1094,1735
1095,1940
1096,1670
1097,1890
1098,1685
1099,2120
1100,1935
1101,1820
1102,1725
1103,1990
1104,1820
1105,1990
1106,1750
1107,2020
1108,1970
1109,1920
1110,2090
1111,1755
1112,1805
1113,1785
1114,1685
1115,2005
1116,2020
1117,1920
1118,1885
1119,1785
1120,2035
1121,1720
1122,1885
1123,1925
1124,1755
1125,2055
1126,2020
