,0
797,405
798,475
799,600
800,575
801,420
802,520
803,655
804,540
805,535
806,580
807,550
808,550
809,410
810,460
811,495
812,575
813,540
814,485
815,475
816,420
817,445
818,425
819,410
820,540
821,495
822,475
823,410
824,470
825,425
826,435
827,555
828,445
829,510
830,425
831,455
832,550
833,495
834,410
835,495
836,475
837,565
838,755
839,410
840,1170
841,555
842,515
843,595
844,475
845,555
846,570
847,445
848,490
849,420
850,520
851,560
852,445
853,520
854,585
855,535
856,585
857,490
858,595
859,550
860,465
861,540
862,415
863,410
864,485
865,465
866,605
867,535
868,425
869,545
870,540
871,525
872,450
873,590
874,605
875,605
876,560
877,745
878,450
879,470
880,575
881,595
882,565
883,435
884,585
885,460
886,490
887,515
888,465
889,445
890,475
891,420
892,590
893,420
894,600
895,480
896,540
897,445
898,450
899,550
900,505
901,570
902,505
903,430
904,625
905,535
906,415
907,630
908,575
909,450
910,535
911,430
912,605
913,565
914,440
915,490
916,480
917,530
918,470
919,590
920,470
921,520
922,540
923,410
924,510
925,495
926,520
927,445
928,505
929,515
930,440
931,480
932,415
933,455
934,465
935,535
936,575
937,455
938,490
939,590
940,580
941,430
942,570
943,605
944,435
945,470
946,510
947,515
948,410
949,565
950,445
951,565
952,540
953,600
954,505
955,785
956,600
957,470
958,465
959,430
960,585
961,435
962,585
963,510
964,500
965,585
966,570
967,580
968,505
969,495
970,480
971,450
972,450
973,560
974,575
975,490
976,480
977,440
978,585
979,455
980,560
981,505
982,600
983,410
984,600
985,430
986,570
987,425
988,540
989,445
990,565
991,510
992,595
993,540
994,480
995,510
996,485
997,500
998,575
999,475
1000,585
1001,445
1002,585
1003,440
1004,560
1005,515
1006,520
1007,580
1008,480
1009,575
1010,555
1011,545
1012,550
1013,560
1014,495
1015,435
1016,575
1017,520
1018,485
1019,530
1020,565
1021,530
1022,470
1023,595
1024,445
1025,435
1026,575
1027,540
1028,555
1029,575
1030,545
1031,555
1032,1020
1033,470
1034,520
1035,500
1036,995
1037,515
1038,585
1039,490
1040,605
1041,500
1042,485
1043,945
1044,440
1045,570
1046,470
1047,410
1048,595
1049,565
1050,475
1051,600
1052,420
1053,555
1054,465
1055,605
1056,855
1057,540
1058,480
1059,505
1060,555
1061,520
1062,475
1063,445
1064,700
1065,595
1066,410
