,0
639,1275
640,1335
641,1215
642,1205
643,1305
644,1185
645,1225
646,1160
647,1445
648,1485
649,1285
650,1460
651,1415
652,1490
653,1520
654,1325
655,1520
656,1355
657,1560
658,1550
659,1175
660,1165
661,1225
662,1515
663,1560
664,1265
665,1315
666,1535
667,1220
668,1555
669,1540
670,1245
671,1195
672,1475
673,1475
674,1555
675,1225
676,1575
677,1170
678,1240
679,1180
680,1280
681,1305
682,1185
683,1575
684,1550
685,1215
686,1570
687,1585
688,1500
689,1460
690,1440
691,1220
692,1305
693,1345
694,1275
695,1295
696,1515
697,1455
698,1210
699,1580
700,1265
701,1460
702,1245
703,1565
704,1505
705,1515
706,1265
707,1175
708,1165
709,1415
710,1485
711,1535
712,1565
713,1350
714,1455
715,1320
716,1255
717,1330
718,1565
719,1315
720,1530
721,1215
722,1535
723,1735
724,1260
725,1535
726,1170
727,1720
728,1215
729,1265
730,1430
731,1480
732,1980
733,1295
734,1240
735,1180
736,1835
737,1290
738,1585
739,1560
740,1450
741,1195
742,1185
743,1230
744,1350
745,1255
746,1520
747,1535
748,1430
749,1430
750,1295
751,1330
752,1310
753,1530
754,1485
755,1485
756,1520
757,1520
758,1255
759,1430
760,1280
761,1260
762,1545
763,1230
764,1440
765,1505
766,1230
767,1295
768,1270
769,1355
770,1355
771,1425
772,1180
773,1490
774,1595
775,1350
776,1475
777,1280
778,1185
779,1445
780,1225
781,1475
782,1410
783,1490
784,1610
785,1305
786,1430
787,1200
788,1335
789,1550
790,1275
791,1540
792,1405
793,1200
794,1470
795,1575
796,1185
797,1160
798,1480
799,1355
800,1580
801,1175
802,1525
803,1410
804,1295
805,1540
806,1585
807,1305
808,1555
809,1165
810,1215
811,1250
812,1580
813,1295
814,1490
815,1480
816,1425
817,1450
818,1430
819,1415
820,1295
821,1250
822,1230
823,1165
824,1475
825,1180
826,1440
827,1560
828,1200
829,1265
830,1430
831,1460
832,1555
833,1250
834,1165
835,1250
836,1480
837,1570
838,1510
839,1415
840,2175
841,1310
842,1270
843,1350
844,1230
845,1560
846,1575
847,1200
848,1245
849,1425
850,1275
851,1565
852,1450
853,1525
854,1590
855,1540
856,1340
857,1495
858,1600
859,1305
860,1220
861,1295
862,1170
863,1165
864,1490
865,1470
866,1610
867,1290
868,1430
869,1300
870,1295
871,1530
872,1205
873,1595
874,1610
875,1610
876,1315
877,1500
878,1205
879,1225
880,1580
881,1600
882,1570
883,1190
884,1340
885,1465
886,1495
887,1520
888,1470
889,1200
890,1230
891,1175
892,1595
893,1425
894,1355
895,1235
896,1545
897,1450
898,1205
899,1305
900,1510
901,1325
902,1260
903,1435
904,1630
905,1290
906,1420
907,1385
908,1330
909,1455
910,1540
911,1435
912,1360
913,1320
914,1445
915,1245
916,1485
917,1285
918,1225
919,1345
920,1475
921,1275
922,1545
923,1165
924,1515
925,1250
926,1525
927,1200
928,1260
929,1520
930,1445
931,1485
932,1420
933,1210
934,1470
935,1290
936,1580
937,1210
938,1245
939,1595
940,1585
941,1185
942,1325
943,1610
944,1440
945,1475
946,1265
947,1270
948,1165
949,1570
950,1450
951,1570
952,1295
953,1355
954,1260
955,1540
956,1355
957,1475
958,1470
959,1435
960,1590
961,1440
962,1590
963,1265
964,1255
965,1340
966,1575
967,1335
968,1260
969,1250
970,1485
971,1205
972,1205
973,1565
974,1330
975,1495
976,1485
977,1445
978,1590
979,1210
980,1565
981,1510
982,1605
983,1165
984,1355
985,1435
986,1325
987,1180
988,1545
989,1200
990,1570
991,1515
992,1600
993,1295
994,1485
995,1265
996,1240
997,1255
998,1580
999,1230
1000,1590
1001,1200
