,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
10,4,5,0,10,14,0,0,6,1,0,0,5,8,4,0,1,6,3,14,6,20,18,2,12,4,4,1,10,12,0,19,19,11,8,0,0,8,4,26,15,48,0,3,39,7,1,4,8,15,1,18,0,0,4,0,8,26,4,5,0,1,3,6,2,2,4,7,1,0,0,7,1,3,0,0,4,0,9,0,3,4,4,5,0,1,1,1,0,7,0,5,0,20,4,33,30,7,0,0,35,9,8,0,0,10,0,11,9,0,28,0,17,12,9,0,1,6,6,14,6,0,9,0,5,1,3,1,3,2,2,0,4,0,1,0,25,8,0,0,4,0,12,0,0,2,0,20,16,1,7,0,6,32,11,1,0,0,0,7,0,1,0,13,0,6,3,1,13,1,7,7,29,0,0,4,0,13,2,9,2,2,4,5,10,31,11,18,7,30,6
11,3,4,0,6,6,6,1,5,0,0,0,2,3,4,1,1,3,18,3,0,12,18,0,20,0,0,13,14,42,7,12,25,6,60,13,0,5,0,7,3,9,0,4,15,1,2,1,6,4,16,18,0,0,7,0,10,26,8,6,0,4,4,19,1,9,7,7,1,0,0,8,1,3,4,0,2,0,10,0,3,5,4,3,0,6,1,2,0,2,1,4,0,7,15,0,11,10,0,1,1,36,5,2,2,9,3,12,9,0,4,2,20,6,12,14,2,4,5,5,1,4,14,0,1,1,2,5,0,0,0,0,1,0,2,0,3,3,0,1,3,0,18,0,0,0,0,15,3,0,2,3,5,22,14,2,0,0,0,0,0,0,0,21,0,5,1,0,18,3,14,5,34,0,0,8,0,3,2,2,0,5,8,10,7,20,4,12,11,6,5
12,0,2,2,7,4,10,7,6,5,0,0,1,2,3,0,1,6,14,7,1,11,20,2,14,0,1,19,12,32,7,5,26,13,47,11,0,4,0,2,9,20,1,1,22,2,0,1,8,7,21,24,0,0,8,0,7,33,11,10,3,3,7,18,0,6,7,5,1,0,0,10,0,2,0,0,9,0,9,0,0,12,9,1,0,7,5,7,0,0,0,6,0,14,10,0,18,10,0,2,1,66,17,0,0,6,2,13,16,0,24,2,23,10,13,16,2,4,13,6,0,3,8,0,3,0,1,0,3,2,0,0,2,0,0,0,6,3,0,13,2,0,12,0,0,2,0,8,0,2,4,0,4,28,5,3,0,0,0,2,0,1,0,22,0,4,7,1,3,1,9,3,24,0,0,3,0,0,1,7,3,4,9,2,7,21,7,16,1,1,13
13,0,4,3,5,6,3,0,7,3,0,0,4,5,3,0,1,6,4,12,11,19,18,0,9,3,3,3,18,8,1,18,24,11,8,3,4,11,1,16,14,18,0,6,32,1,0,1,9,12,2,22,0,0,5,1,9,33,13,25,0,3,7,12,1,4,3,7,0,0,0,9,0,0,1,0,4,0,8,1,0,3,4,2,0,4,0,1,1,2,0,14,0,13,8,16,23,7,9,0,15,20,6,1,5,9,0,11,7,0,11,0,6,14,16,4,6,2,11,10,9,0,17,0,4,0,3,0,1,1,2,0,7,0,0,1,22,8,0,0,6,0,9,0,0,0,0,19,3,1,7,3,4,27,12,2,0,0,0,0,0,0,0,20,1,4,2,0,17,2,7,7,35,0,0,9,0,9,2,3,1,3,5,7,4,25,7,17,6,6,13
14,0,1,1,1,6,2,0,10,5,0,0,11,4,2,0,4,3,3,11,9,11,13,0,23,2,3,1,14,26,2,12,15,12,20,5,0,10,0,12,10,84,0,4,40,1,3,1,7,10,5,24,0,0,4,0,5,27,16,8,0,3,2,13,1,1,4,5,0,0,0,6,1,0,1,0,9,0,5,0,7,10,2,5,0,7,3,0,0,10,0,9,0,16,5,19,26,1,0,0,18,7,7,0,0,12,0,10,10,0,56,6,17,6,7,2,14,3,7,11,6,1,4,0,2,1,1,1,3,1,0,0,1,0,1,0,19,8,0,0,2,2,10,0,0,2,0,19,9,1,4,4,1,33,13,4,0,0,0,4,0,0,1,28,1,6,3,0,14,0,10,6,23,0,0,9,0,11,3,3,21,1,10,2,7,20,3,22,8,6,3
15,0,3,0,9,5,5,8,4,3,1,0,1,2,7,1,5,8,9,14,0,9,14,0,17,2,0,16,18,22,7,4,20,8,26,1,0,3,1,3,7,17,0,3,17,5,1,2,8,9,2,28,0,0,2,1,8,34,20,13,0,2,8,23,2,10,9,7,2,0,0,6,0,1,0,0,3,0,5,0,0,21,6,5,0,9,5,0,0,2,0,5,0,17,11,0,15,7,2,1,0,45,25,0,0,10,6,16,9,0,28,1,17,8,11,14,3,0,9,4,2,1,13,0,1,0,4,0,3,3,0,0,4,0,2,1,8,4,1,12,3,0,11,0,0,1,0,8,5,3,3,2,4,33,14,0,0,0,1,2,0,0,1,14,1,5,3,0,13,0,8,6,34,1,1,5,0,1,2,3,1,4,9,0,5,26,3,15,6,5,4
16,0,9,3,9,7,7,5,1,5,0,0,2,4,6,0,0,7,18,16,0,13,15,1,16,3,1,17,15,39,12,12,22,6,42,11,0,4,0,5,5,12,0,0,21,2,0,4,13,6,21,22,0,0,8,1,7,26,20,9,0,5,6,31,0,11,5,6,3,0,0,9,0,3,0,0,9,0,7,0,3,13,5,3,0,2,6,8,0,1,0,11,0,10,12,1,21,6,0,1,0,54,18,0,0,9,4,14,14,0,25,2,22,6,9,18,7,2,9,7,0,2,11,0,3,0,5,4,3,0,0,0,4,0,0,1,6,5,1,9,3,0,14,0,0,2,0,11,1,0,5,0,7,29,11,2,0,0,0,1,0,0,0,19,0,7,5,0,11,4,6,4,24,1,0,4,0,0,0,1,3,5,6,1,1,27,6,12,1,3,13
17,1,8,2,6,7,3,2,8,4,0,0,6,4,4,0,1,1,15,7,0,14,11,0,8,0,0,3,6,20,1,12,14,11,24,6,1,8,4,6,11,7,2,4,21,6,1,0,2,8,8,22,0,0,12,1,8,24,1,5,0,2,5,6,0,1,5,8,1,0,0,10,0,2,0,0,1,2,4,0,0,4,5,6,0,0,0,3,0,4,0,5,0,7,5,12,24,6,5,0,3,27,3,0,4,9,0,7,7,0,4,4,8,12,14,6,1,6,9,11,18,0,2,0,3,0,1,4,1,1,3,0,1,0,0,0,11,1,0,0,1,0,9,0,0,0,0,15,6,0,3,3,7,21,14,3,0,0,0,9,0,1,1,27,0,3,2,0,27,0,10,5,21,0,0,6,0,10,4,4,1,0,8,6,9,23,3,4,10,2,13
18,6,7,2,8,8,3,0,10,3,0,0,2,2,3,0,1,3,1,6,4,18,6,1,5,0,2,0,13,12,0,17,17,6,3,3,0,11,1,14,9,13,0,2,33,0,0,0,9,12,14,18,0,0,3,0,7,27,5,20,0,2,6,6,2,2,0,3,0,0,0,6,0,3,1,0,10,0,3,0,1,2,3,0,0,3,1,1,0,2,2,8,0,11,3,23,23,7,6,1,6,17,0,1,4,15,1,10,6,0,15,1,8,13,9,6,3,4,9,8,5,1,12,0,4,0,0,0,3,1,8,0,6,0,1,0,3,1,0,0,1,0,16,0,0,1,0,16,6,0,4,0,6,22,8,4,0,0,0,4,0,0,3,31,0,1,3,1,12,0,11,5,28,0,0,8,0,12,0,3,3,1,6,6,8,33,7,17,4,6,6
19,3,9,2,8,4,3,1,9,2,0,0,1,3,5,0,1,5,13,6,0,13,11,1,5,0,0,7,11,39,5,6,21,8,56,10,1,7,0,7,4,11,0,4,10,0,1,1,4,0,16,19,0,0,2,0,7,23,11,2,0,2,5,15,5,9,5,10,5,0,0,7,0,4,0,0,7,1,1,0,0,6,6,4,0,1,0,3,0,3,0,1,0,10,8,1,15,7,0,0,1,37,11,0,1,10,0,8,6,0,9,2,21,13,8,17,2,4,6,10,1,2,8,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,24,0,0,0,0,7,14,0,2,0,2,24,15,2,0,0,0,2,0,1,1,26,1,0,0,1,13,1,14,4,37,0,0,12,0,2,1,3,4,2,12,1,7,27,5,14,2,4,6
